"id","parent_id","code","name","address","suburb","postcode","state","country","phone","fax","category","category_code","region","region_code","active","created_at","updated_at"
1,1,"1586","Col Crawford Nissan","497 Pittwater Road","BROOKVALE","2100","NSW","Australia","(02) 9941 1200","299383691","A","1","E","E06",1,"2022-05-02 05:52:28","2022-05-02 05:52:28"
2,1,"2075","Leo Franco Nissan","Cnr Yambil & Ulong Streets    ","GRIFFITH                                ","2680","NSW","Australia","02   69692800","02 69692860","B","2","E","E03",1,"2022-05-02 05:52:28","2022-06-02 07:10:18"
3,1,"2210","Ross Granata Motors","32 Sydney Road                ","MUDGEE                                  ","2850","NSW","Australia","02   63721766","02 6372 3735","C","2","E","E02",1,"2022-05-02 05:52:28","2022-06-02 07:10:18"
4,1,"2300","Kloster Nissan","Cnr. Tudor And Parry Streets","HAMILTON","2303","NSW","Australia","02   49220595","02 49610543","A","2","E","E03",1,"2022-05-02 05:52:28","2022-05-02 05:52:28"
5,1,"2402","Frank Spice Auto Repairs","22 Dowling Street             ","FORBES                                  ","2871","NSW","Australia","02   68519400","02 68524089","C","1","E","E02",1,"2022-05-02 05:52:28","2022-06-02 07:10:18"
6,1,"2455","Gaukroger Nissan","26-30 Vivian Street           ","INVERELL                                ","2360","NSW","Australia","02   67222722","02 67221804","C","1","E","E03",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
7,1,"2509","J T Fossey Sales Pty Ltd","501 Peel Street               ","TAMWORTH                                ","2340","NSW","Australia","02   67661466","02 67668566","C","1","E","E03",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
8,1,"2550","John Oxley Motors","130 Hastings River Drive      ","PORT MACQUARIE                          ","2444","NSW","Australia","02   65888555","02 65840554","B","2","E","E01",1,"2022-05-02 05:52:28","2022-06-02 07:10:18"
9,1,"2696","National Capital Motors","Josephson Street              ","BELCONNEN                               ","2617","ACT","Australia","02   62563300","02 62511901","B","1","E","E02",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
10,1,"3030","Werribee Nissan","14-26 Heaths Road","HOPPERS CROSSING                        ","3029","VIC","Australia","03   99745800","03 99745825","A","1","S","S04",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
11,1,"3125","McRae Nissan","182 Melbourne Road            ","WODONGA                                 ","3690","VIC","Australia","02   60515555","02 60515568","B","1","S","S02",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
12,1,"3150","Ferntree Gully Nissan","1000 Burwood Highway          ","FERNTREE GULLY                          ","3156","VIC","Australia","03   97584444","03 97585456","A","1","S","S03",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
13,1,"3376","Northern Nissan","429-439 Grimshaw Street","BUNDOORA                                ","3083","VIC","Australia","03   94665888","03 94677463","A","1","S","S02",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
14,1,"3432","Blackburn Nissan","138 Whitehorse Road","BLACKBURN","3130","VIC","Australia","03   98942244","03 98942944","A","1","S","S13",1,"2022-05-02 05:52:28","2022-05-02 05:52:28"
15,1,"3483","Edney's Leongatha","1 Roughead Street             ","LEONGATHA                               ","3953","VIC","Australia","03   56622327","03 56622642","C","1","S","S01",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
16,1,"3806","Berwick Nissan","6-10 Kangan Drive","BERWICK                                 ","3806","VIC","Australia","03   97961777","03 97073550","A","1","S","S03",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
17,1,"3814","Lieschke Nissan","63 Commercial Street          ","WALLA WALLA                             ","2659","NSW","Australia","02   60292202","02 60292134","C","1","S","S02",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
18,1,"3936","Michaels Of Donald","15 McCulloch Street","DONALD                                  ","3480","VIC","Australia","03   54971203","03 54971626","C","2","S","S03",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
19,1,"4119","Rex Gorell Nissan","481a La Trobe Terrace         ","GEELONG                                 ","3220","VIC","Australia","03   52223411","03 52231968","A","1","S","S04",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
20,1,"4158","North Star Mildura Motors","19-29 Orange Avenue","MILDURA","3500","VIC","Australia","03   50213866","03 50213901","B","2","W","W05",1,"2022-05-02 05:52:28","2022-05-02 05:52:28"
21,1,"5010","Gatton Auto","67 Railway Street             ","GATTON                                  ","4343","QLD","Australia","07   54621633","07 54621980","B","2","N","N01",1,"2022-05-02 05:52:28","2022-06-02 07:10:19"
22,1,"5066","Cleveland Nissan","49-51 Shore Street","CLEVELAND","4163","QLD","Australia","07 32862501","732864193","A","1","N","N04",1,"2022-05-02 05:52:28","2022-05-02 05:52:28"
23,1,"5132","South West Nissan","50-56 Alfred Street           ","CHARLEVILLE                             ","4470","QLD","Australia","07   46541477","07 46541609","C","2","N","N04",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
24,1,"5280","Chano Trentin's AWD Centre","Cnr Vernon and Louise Streets   ","ATHERTON                                ","4883","QLD","Australia","07   40305400","07 40913061","C","1","N","N04",1,"2022-05-02 05:52:28","2022-06-02 07:10:19"
25,1,"5290","Westco Motors","347-359 Mulgrave Rd           ","CAIRNS                                  ","4870","QLD","Australia","07   40444111","07 40331522","B","1","N","N03",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
26,1,"5490","Westpoint Nissan","440 Moggill Road              ","INDOOROOPILLY","4068","QLD","Australia","07   38780440","07 32206754","A","1","N","N02",1,"2022-05-02 05:52:28","2022-08-22 09:01:17"
27,1,"5546","Rod Grittner Nissan","7 Mill Street                 ","PROSERPINE                              ","4800","QLD","Australia","07   49451209","07 49453593","B","2","N","N01",1,"2022-05-02 05:52:28","2022-06-02 07:10:19"
